"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qunkexcep","qfailed","dstype"
"80",271,"dbpseed321prdrotatednt","Virtuoso","sparql2",0.419196617445566,324,772907,0,0,0,"rot"
"81",271,"dbpseed321prdrotatednt","Virtuoso","sparql1",4.33676883951278,324,74710,0,0,0,"rot"
"82",271,"dbpseed321prdrotatednt","Virtuoso","sparql0",6.57948176427585,324,49244,0,0,0,"rot"
"83",271,"dbpseed321prdrotatednt","Virtuoso","sparql19",0.541854043920281,324,597947,0,0,0,"rot"
"84",271,"dbpseed321prdrotatednt","Virtuoso","sparql18",0.192033958694382,325,1692409,0,0,0,"rot"
"85",271,"dbpseed321prdrotatednt","Virtuoso","sparql17",315.175097276265,324,1028,0,0,0,"rot"
"86",271,"dbpseed321prdrotatednt","Virtuoso","sparql16",25.2348784843544,325,12879,0,0,0,"rot"
"87",271,"dbpseed321prdrotatednt","Virtuoso","sparql15",451.882845188285,324,717,0,0,0,"rot"
"88",271,"dbpseed321prdrotatednt","Virtuoso","sparql14",221.009549795362,324,1466,0,0,0,"rot"
"89",271,"dbpseed321prdrotatednt","Virtuoso","sparql13",4.70155947111073,325,69126,0,0,0,"rot"
"90",271,"dbpseed321prdrotatednt","Virtuoso","sparql12",3.03606735571652,324,106717,0,0,0,"rot"
"91",271,"dbpseed321prdrotatednt","Virtuoso","sparql11",76.3448437867043,325,4257,0,0,0,"rot"
"92",271,"dbpseed321prdrotatednt","Virtuoso","sparql10",266.886326194399,324,1214,0,0,0,"rot"
"93",271,"dbpseed321prdrotatednt","Virtuoso","sparql23",257.756563245823,324,1257,0,0,0,"rot"
"94",271,"dbpseed321prdrotatednt","Virtuoso","sparql22",5.93754581439672,324,54568,0,0,0,"rot"
"95",271,"dbpseed321prdrotatednt","Virtuoso","sparql21",107.820299500832,324,3005,0,0,0,"rot"
"96",271,"dbpseed321prdrotatednt","Virtuoso","sparql20",31.6715542521994,324,10230,0,0,0,"rot"
"97",272,"dbpseed333prdrotatednt","Virtuoso","sparql9",7.36542635135895,655,88929,0,0,0,"rot"
"98",272,"dbpseed333prdrotatednt","Virtuoso","sparql8",318.713450292398,654,2052,0,0,0,"rot"
"99",272,"dbpseed333prdrotatednt","Virtuoso","sparql7",5.76724662474978,654,113399,0,0,0,"rot"
"100",272,"dbpseed333prdrotatednt","Virtuoso","sparql6",102.044000624122,654,6409,0,0,0,"rot"
"101",272,"dbpseed333prdrotatednt","Virtuoso","sparql5",37.943838477605,654,17236,0,0,0,"rot"
"102",272,"dbpseed333prdrotatednt","Virtuoso","sparql4",222.184531886024,655,2948,0,0,0,"rot"
"103",272,"dbpseed333prdrotatednt","Virtuoso","sparql3",12.1595782204318,655,53867,0,0,0,"rot"
"104",272,"dbpseed333prdrotatednt","Virtuoso","sparql2",0.5962980286606,654,1096767,0,0,0,"rot"
"105",272,"dbpseed333prdrotatednt","Virtuoso","sparql1",4.71582645758636,655,138894,0,0,0,"rot"
"106",272,"dbpseed333prdrotatednt","Virtuoso","sparql0",7.34733252568762,655,89148,0,0,0,"rot"
"107",272,"dbpseed333prdrotatednt","Virtuoso","sparql19",2.70738351017439,655,241931,0,0,0,"rot"
"108",272,"dbpseed333prdrotatednt","Virtuoso","sparql18",0.5586463529775,655,1172477,0,0,0,"rot"
"109",272,"dbpseed333prdrotatednt","Virtuoso","sparql17",312.619502868069,654,2092,0,0,0,"rot"
"110",272,"dbpseed333prdrotatednt","Virtuoso","sparql16",30.5361305361305,655,21450,0,0,0,"rot"
"111",272,"dbpseed333prdrotatednt","Virtuoso","sparql15",471.562275017999,655,1389,0,0,0,"rot"
"112",272,"dbpseed333prdrotatednt","Virtuoso","sparql14",228.621291448517,655,2865,0,0,0,"rot"
"113",272,"dbpseed333prdrotatednt","Virtuoso","sparql13",3.83164175612039,655,170945,0,0,0,"rot"
"114",272,"dbpseed333prdrotatednt","Virtuoso","sparql12",2.88839914672979,654,226423,0,0,0,"rot"
"115",272,"dbpseed333prdrotatednt","Virtuoso","sparql11",200.489745944291,655,3267,0,0,0,"rot"
"116",272,"dbpseed333prdrotatednt","Virtuoso","sparql10",271.933471933472,654,2405,0,0,0,"rot"
"117",272,"dbpseed333prdrotatednt","Virtuoso","sparql23",300.872760679835,655,2177,0,0,0,"rot"
"118",272,"dbpseed333prdrotatednt","Virtuoso","sparql22",5.78361338972724,655,113251,0,0,0,"rot"
"119",272,"dbpseed333prdrotatednt","Virtuoso","sparql21",131.578947368421,655,4978,0,0,0,"rot"
"120",272,"dbpseed333prdrotatednt","Virtuoso","sparql20",78.5183409254375,655,8342,0,0,0,"rot"
"121",273,"dbpseed1prdrotatednt","GraphDB","sparql9",0.308800410664442,77,249352,0,0,0,"rot"
"122",273,"dbpseed1prdrotatednt","GraphDB","sparql8",220.289855072464,76,345,0,0,0,"rot"
"123",273,"dbpseed1prdrotatednt","GraphDB","sparql7",119.93769470405,77,642,0,0,0,"rot"
"124",273,"dbpseed1prdrotatednt","GraphDB","sparql6",73.4299516908213,76,1035,0,0,0,"rot"
"125",273,"dbpseed1prdrotatednt","GraphDB","sparql5",23.149558330795,76,3283,0,0,0,"rot"
"126",273,"dbpseed1prdrotatednt","GraphDB","sparql4",214.484679665738,77,359,0,0,0,"rot"
"127",273,"dbpseed1prdrotatednt","GraphDB","sparql3",1.84647850171459,77,41701,0,0,0,"rot"
"128",273,"dbpseed1prdrotatednt","GraphDB","sparql2",0.02924669743214,76,2598584,0,0,0,"rot"
"129",273,"dbpseed1prdrotatednt","GraphDB","sparql1",1.19516965200385,77,64426,0,0,0,"rot"
"130",273,"dbpseed1prdrotatednt","GraphDB","sparql0",0.58730655113762,77,131107,0,0,0,"rot"
"131",273,"dbpseed1prdrotatednt","GraphDB","sparql19",3.61791100878636,77,21283,0,0,0,"rot"
"132",273,"dbpseed1prdrotatednt","GraphDB","sparql18",0.330619675735092,77,232896,0,0,0,"rot"
"133",273,"dbpseed1prdrotatednt","GraphDB","sparql17",253.333333333333,76,300,0,0,0,"rot"
"134",273,"dbpseed1prdrotatednt","GraphDB","sparql16",44.151376146789,77,1744,0,0,0,"rot"
"135",273,"dbpseed1prdrotatednt","GraphDB","sparql15",326.271186440678,77,236,0,0,0,"rot"
"136",273,"dbpseed1prdrotatednt","GraphDB","sparql14",250,77,308,0,0,0,"rot"
"137",273,"dbpseed1prdrotatednt","GraphDB","sparql13",8.72323552735924,77,8827,0,0,0,"rot"
"138",273,"dbpseed1prdrotatednt","GraphDB","sparql12",0.363165464875688,76,209271,0,0,0,"rot"
"139",273,"dbpseed1prdrotatednt","GraphDB","sparql11",122.611464968153,77,628,0,0,0,"rot"
"140",273,"dbpseed1prdrotatednt","GraphDB","sparql10",264.808362369338,76,287,0,0,0,"rot"
"141",273,"dbpseed1prdrotatednt","GraphDB","sparql23",258.389261744966,77,298,0,0,0,"rot"
