"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qfailed","dstype"
"44",103,"seed333prdrotatednt","Fuseki","sparql3",0.0678407641583675,5,73702,0,0,"rot"
"45",103,"seed333prdrotatednt","Fuseki","sparql2",73.5294117647059,5,68,0,0,"rot"
"46",103,"seed333prdrotatednt","Fuseki","sparql1",5.95238095238095,5,840,0,0,"rot"
"47",103,"seed333prdrotatednt","Fuseki","sparql0",32.8947368421053,5,152,0,0,"rot"
"48",103,"seed333prdrotatednt","Fuseki","sparql7",0.00248019973875229,3,1209580,2,2,"rot"
"49",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql6",4.54959053685168,5,1099,0,0,"rec"
"50",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql5",0,0,1800354,5,5,"rec"
"51",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql4",2.79134682484299,4,1433,0,0,"rec"
"52",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql3",0.0629267218324261,4,63566,0,0,"rec"
"53",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql2",86.9565217391304,4,46,0,0,"rec"
"54",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql1",5.89970501474926,4,678,0,0,"rec"
"55",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql0",27.027027027027,4,148,0,0,"rec"
"56",104,"swfcTboxsf1R100i270reconnt","Fuseki","sparql7",0,0,1440287,4,4,"rec"
"57",105,"swfcTboxorgnt","Blazegraph","sparql6",14.0270339199184,55,3921,0,0,"org"
"58",105,"swfcTboxorgnt","Blazegraph","sparql5",0.0176988587454084,55,3107545,0,0,"org"
"59",105,"swfcTboxorgnt","Blazegraph","sparql4",19.5590327169275,55,2812,0,0,"org"
"60",105,"swfcTboxorgnt","Blazegraph","sparql3",0.123238805435055,55,446288,0,0,"org"
"61",105,"swfcTboxorgnt","Blazegraph","sparql2",42.2751729438893,55,1301,0,0,"org"
"62",105,"swfcTboxorgnt","Blazegraph","sparql1",10.1984053402559,55,5393,0,0,"org"
"63",105,"swfcTboxorgnt","Blazegraph","sparql0",45.7951706910908,55,1201,0,0,"org"
"64",105,"swfcTboxorgnt","Blazegraph","sparql7",2.08514994123668,55,26377,0,0,"org"
"65",106,"seed123prdrotatednt","Blazegraph","sparql6",1.40911225927666,9,6387,0,0,"rot"
"66",106,"seed123prdrotatednt","Blazegraph","sparql5",0,0,3241321,0,9,"rot"
"67",106,"seed123prdrotatednt","Blazegraph","sparql4",27.355623100304,9,329,0,0,"rot"
"68",106,"seed123prdrotatednt","Blazegraph","sparql3",0.0800476728362669,9,112433,0,0,"rot"
"69",106,"seed123prdrotatednt","Blazegraph","sparql2",34.7490347490347,9,259,0,0,"rot"
"70",106,"seed123prdrotatednt","Blazegraph","sparql1",9.25925925925926,9,972,0,0,"rot"
"71",106,"seed123prdrotatednt","Blazegraph","sparql0",37.6569037656904,9,239,0,0,"rot"
"72",106,"seed123prdrotatednt","Blazegraph","sparql7",1.27931769722815,9,7035,0,0,"rot"
"73",107,"seed159prdrotatednt","Blazegraph","sparql6",1.81671376665321,9,4954,0,0,"rot"
"74",107,"seed159prdrotatednt","Blazegraph","sparql5",0,0,3241194,0,9,"rot"
"75",107,"seed159prdrotatednt","Blazegraph","sparql4",29.6052631578947,9,304,0,0,"rot"
"76",107,"seed159prdrotatednt","Blazegraph","sparql3",0.129200821142997,9,69659,0,0,"rot"
"77",107,"seed159prdrotatednt","Blazegraph","sparql2",43.2692307692308,9,208,0,0,"rot"
"78",107,"seed159prdrotatednt","Blazegraph","sparql1",10.4046242774566,9,865,0,0,"rot"
